GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
device-manager,com.devicemanager.service,LocalStorageService.StoredObjectBytes,4,29,2,2,0,4,2,2,0,2
device-manager,com.devicemanager.service,AuthService,165,222,19,15,34,49,19,10,7,5
device-manager,com.devicemanager.service,AppSettingsService,513,147,58,15,95,31,42,10,7,8
device-manager,com.devicemanager.service,DeviceService,399,860,63,89,78,192,55,57,5,31
device-manager,com.devicemanager.service,OrderRequestService,609,1155,92,80,127,231,86,36,14,22
device-manager,com.devicemanager.service,LocalStorageService,72,322,13,19,18,62,12,18,2,12
device-manager,com.devicemanager.service,MasService,134,314,15,15,19,76,16,15,4,12
device-manager,com.devicemanager.service,AtelierService,591,1024,110,90,107,243,100,45,15,30
device-manager,com.devicemanager.service,ImageOptimizationService.OptimizedMultipartFile,27,35,2,0,5,10,5,5,4,5
device-manager,com.devicemanager.service,S3StorageService,89,0,4,0,21,0,6,0,4,0
device-manager,com.devicemanager.service,InterventionService,79,434,15,23,12,100,20,13,5,9
device-manager,com.devicemanager.service,WebEnrichmentService,338,4,52,0,76,1,30,1,4,1
device-manager,com.devicemanager.service,AiAssistantService,716,175,114,20,187,44,80,17,18,12
device-manager,com.devicemanager.service,ImageOptimizationService,37,296,12,14,10,65,12,8,0,7
device-manager,com.devicemanager.service,StorageService.StoredObject,0,15,0,0,0,1,0,1,0,1
device-manager,com.devicemanager.service,AiAssistantService.VisionEndpoint,12,0,0,0,1,0,1,0,1,0
device-manager,com.devicemanager.service,AuthService.AuthSession,0,9,0,0,0,1,0,1,0,1
device-manager,com.devicemanager.service,AiModelDiscoveryService.CacheEntry,9,0,0,0,1,0,1,0,1,0
device-manager,com.devicemanager.service,AdminLogService,168,0,24,0,41,0,18,0,6,0
device-manager,com.devicemanager.service,MailService,180,128,22,14,45,21,18,7,1,6
device-manager,com.devicemanager.service,SfmService,213,589,32,36,45,146,31,27,7,17
device-manager,com.devicemanager.service,UserService,274,417,37,37,45,93,31,27,4,17
device-manager,com.devicemanager.entity,Intervention,13,9,4,0,5,3,3,1,1,1
device-manager,com.devicemanager.entity,Commande,13,9,4,0,5,3,3,1,1,1
device-manager,com.devicemanager.entity,RefreshToken,7,0,2,0,3,0,2,0,1,0
device-manager,com.devicemanager.entity,SfmContact,0,11,1,3,0,1,1,2,0,1
device-manager,com.devicemanager.entity,User,4,0,0,0,2,0,1,0,1,0
device-manager,com.devicemanager.entity,Sfm,21,45,6,4,7,11,6,2,1,2
device-manager,com.devicemanager.ai,AiApiKeyBattery,117,0,28,0,34,0,27,0,6,0
device-manager,com.devicemanager.ai,AiProviders.Provider,0,12,0,0,0,1,0,1,0,1
device-manager,com.devicemanager.ai,AiProviders,126,133,45,5,24,11,29,6,4,6
device-manager,com.devicemanager.exception,GlobalExceptionHandler,290,83,82,8,54,22,52,6,6,5
device-manager,com.devicemanager.security,JwtService,22,126,4,6,5,33,5,10,1,9
device-manager,com.devicemanager.security,OrderStatuses,1,29,3,5,0,4,3,5,0,4
device-manager,com.devicemanager.security,FileMagicBytesValidator,94,43,39,9,4,5,26,3,2,3
device-manager,com.devicemanager.security,LoginRateLimitFilter,126,0,18,0,25,0,14,0,5,0
device-manager,com.devicemanager.security,JwtAuthenticationFilter,0,85,4,6,0,21,4,4,0,3
device-manager,com.devicemanager.entity.coordonnees,Coordonnees,9,30,0,0,3,12,1,5,1,5
device-manager,com.devicemanager.entity.coordonnees,TypeReseauSocial,45,0,0,0,8,0,1,0,1,0
device-manager,com.devicemanager.tenancy,AtelierContext,13,16,2,0,4,6,2,4,1,4
device-manager,com.devicemanager.tenancy,AtelierContextFilter,14,162,11,23,0,34,13,9,2,3
